,player_name,yr_numerical,conf,TS_per,bpm,drafted
2021,Bo Hodges,4.0,BE,40.93,1.8713,0
2022,Bo Holston,3.0,SC,52.24,-4.10636,0
2023,Bo Ingram,4.0,Slnd,54.37,-0.725853,0
2024,Bo Montgomery,1.0,Pat,42.38,-4.80256,0
2025,Bo Spencer,4.0,B10,54.51,1.30594,0
2026,Bo Zeigler,4.0,A10,62.43,1.78914,0
2027,Boaz Williams,1.0,Slnd,49.08,-10.0795,0
2028,Bob Bevilacqua,4.0,MAAC,46.13,-3.44319,0
2029,Boban Jacdonmi,4.0,CUSA,55.09,-5.53042,0
2030,Bobby Ahearn,4.0,AE,51.27,-5.71818,0
2031,Bobby Arthur-Williams,3.0,Horz,44.39,-4.34792,0
2032,Bobby Austin,4.0,SC,55.45,-0.186871,0
2033,Bobby Brown,4.0,SWAC,41.42,-6.17329,0
2034,Bobby Capobianco,4.0,Horz,59.05,0.71715,0
2035,Bobby Conley,4.0,SB,52.71,0.782356,0
2036,Bobby Davis,3.0,ASun,56.37,3.15104,0
2037,Bobby Duncan,4.0,SC,38.14,-8.34263,0
2038,Bobby Frasor,4.0,ACC,43.24,5.018,0
2039,Bobby Garbade,1.0,Ivy,37.97,-8.97892,0
2040,Bobby Hain,4.0,Horz,51.08,-1.77643,0
2041,Bobby Harvey,3.0,Horz,49.92,-5.995,0
2042,Bobby Hoekstra,4.0,ACC,50.0,-3.88468,0
2043,Bobby Howard,4.0,BSky,46.87,-1.01187,0
2044,Bobby Hunter,4.0,MVC,56.2,3.30639,0
2045,Bobby Jackson,3.0,SWAC,48.19,-7.30763,0
2046,Bobby Jones,4.0,OVC,46.8,-5.33609,0
2047,Bobby King,4.0,Slnd,54.28,-3.11896,0
2048,Bobby Lee,3.0,SWAC,41.65,-4.11363,0
2049,Bobby Maze,4.0,SEC,50.34,3.28097,0
2050,Bobby Miles,2.0,WAC,43.32,-4.12438,0
2051,Bobby Miller,1.0,ASun,34.43,-13.3415,0
2052,Bobby Moorehead,4.0,BSky,47.53,1.28474,0
2053,Bobby Parker,3.0,ASun,50.05,-2.81653,0
2054,Bobby Planutis,3.0,Horz,69.51,-0.380269,0
2055,Bobby Portis,2.0,SEC,58.23,7.92782,1
2056,Bobby Sharp,4.0,WCC,44.36,-1.64571,0
2057,Bobby Wehrli,4.0,A10,45.66,-0.297925,0
2058,Bobby Word,4.0,Horz,55.22,-3.35577,0
2059,Bobo Drummond,1.0,Horz,35.97,-3.35406,0
2060,Boden Skunberg,1.0,Sum,42.42,-4.09806,0
2061,Bodie Hume,3.0,BSky,55.12,1.88953,0
2062,Boe Nguidjol,3.0,SWAC,69.5,-4.12524,0
2063,Bogdan Bliznyuk,4.0,BSky,62.54,4.44228,0
2064,Bol Akot,1.0,MAAC,27.52,-11.3434,0
2065,Bol Bol,1.0,P12,63.18,10.5008,1
2066,Bol Kong,2.0,WCC,59.04,3.54575,0
2067,Bol Riek,2.0,Slnd,70.71,-12.254,0
2068,Bol Tong,3.0,Slnd,58.82,-4.95299,0
2069,Bola Alade,2.0,CUSA,33.08,-7.49906,0
2070,Bola Olaniyan,4.0,SEC,53.68,2.29855,0
2071,Bolden Brace,4.0,CAA,60.25,4.96917,0
2072,Bonzie Colson,4.0,ACC,55.87,6.98561,0
2073,Boo Buie,2.0,B10,49.75,0.323234,0
2074,Boo Milligan,2.0,Slnd,42.02,-6.15244,0
2075,Boogie Anderson,3.0,Sum,52.39,-5.8564,0
2076,Boogie Ellis,2.0,Amer,53.01,3.11779,0
2077,Booker Hucks,4.0,NEC,66.88,-0.131581,0
2078,Booker Woodfox,4.0,MVC,64.25,5.02894,0
2079,Boris Bojanovsky,4.0,ACC,61.7,7.2824,0
2080,Borja Fernandez,2.0,BSky,47.87,-4.30653,0
2081,Bosko Kostur,4.0,NEC,62.62,-4.26431,0
2082,Boston Gubler,1.0,WAC,32.79,-7.9109,0
2083,Both Gach,3.0,B10,51.38,0.550361,0
2084,Boubacar Coulibaly,1.0,P12,71.43,4.90961,0
2085,Boubacar Sylla,2.0,MWC,44.46,-4.30248,0
2086,Boubacar Toure,4.0,MAC,60.18,3.80203,0
2087,Bourama Sidibe,4.0,ACC,52.63,-3.70398,0
2088,Bowen Born,1.0,MVC,52.27,-0.909059,0
2089,Brachen Hazen,4.0,MAC,56.82,2.07602,0
2090,Bracken Funk,1.0,WAC,48.3,1.33608,0
2091,Brad Bald,1.0,CAA,42.86,-5.41436,0
2092,Brad Birton,4.0,Horz,50.37,0.178864,0
2093,Brad Brechting,4.0,Horz,55.47,0.0531155,0
2094,Brad Brown,1.0,WAC,50.63,-2.40089,0
2095,Brad Calipari,4.0,Horz,56.74,-3.45097,0
2096,Brad Cohen,4.0,A10,68.18,0.641483,0
2097,Brad Davison,4.0,B10,51.64,5.58378,0
2098,Brad Farrell,4.0,MAAC,38.19,-4.64647,0
2099,Brad Gilson,1.0,Ivy,59.36,-3.59134,0
2100,Brad Greene,4.0,BW,54.18,6.58219,0
2101,Brad Haugabrook,4.0,ASun,44.83,-5.58276,0
2102,Brad Kelleher,4.0,CAA,50.8,-2.58883,0
2103,Brad Loesing,4.0,SC,52.57,-1.21654,0
2104,Brad Piehl,1.0,NEC,43.48,-6.86076,0
2105,Brad Redford,4.0,A10,63.23,3.39834,0
2106,Brad Reese,4.0,B12,50.02,3.21755,0
2107,Brad Reid,4.0,Sum,53.33,-0.192426,0
2108,Brad Schaub,1.0,AE,49.78,-5.10395,0
2109,Brad Sheehan,3.0,ACC,33.52,2.52561,0
2110,Brad Sweezy,2.0,WCC,42.53,-5.00612,0
2111,Brad Tinsley,4.0,SEC,61.0,4.93712,0
2112,Brad Waldow,4.0,WCC,58.26,5.66782,0
2113,Brad Wanamaker,4.0,BE,53.9,9.93882,0
2114,Brad Woodson,2.0,SEC,44.03,-5.78476,0
2115,Braden Bell,3.0,MAAC,50.49,0.180845,0
2116,Braden Burke,4.0,MAC,33.33,-12.3564,0
2117,Braden Koelliker,2.0,MWC,49.99,1.29533,0
2118,Braden Lamar,1.0,Sum,50.46,-6.72459,0
2119,Braden Norris,2.0,MVC,59.39,3.82538,0
2120,Bradford Burgess,4.0,CAA,52.58,4.69916,0
2121,Bradley Akhile,3.0,Slnd,46.23,-7.71786,0
2122,Bradley Beal,1.0,SEC,57.45,8.02626,1
2123,Bradley Gay,4.0,Slnd,49.05,-0.778643,0
2124,Bradley George,2.0,Sum,62.23,-5.23395,0
2125,Bradley Hayes,4.0,BE,55.44,3.05833,0
2126,Brady Danielson,2.0,Sum,40.93,-4.07841,0
2127,Brady Ellingson,4.0,MVC,67.18,2.83138,0
2128,Brady Ernst,4.0,MVC,61.27,-0.303683,0
2129,Brady Heiman,2.0,Sum,27.64,-3.31166,0
2130,Brady Heslip,4.0,B12,67.16,6.76402,0
2131,Brady Jardine,4.0,WAC,49.3,-12.241,0
2132,Brady Manek,4.0,B12,54.11,3.80939,0
2133,Brady Morningstar,4.0,B12,60.59,8.43506,0
2134,Brady O'Connell,1.0,CUSA,33.9,-11.423,0
2135,Brady Schuck,3.0,SC,66.41,-1.19469,0
2136,Brady Spence,2.0,SC,58.36,-6.35257,0
2137,Brady Twombly,1.0,BSky,54.73,-6.1872,0
2138,Brae Ivey,4.0,MWC,51.51,-0.776445,0
2139,Braeden Anderson,3.0,BE,39.55,-1.72466,0
2140,Braelee Albert,2.0,SEC,31.89,-1.35411,0
2141,Braelen Bridges,3.0,Horz,64.81,-2.04728,0
2142,Braelon Bush,1.0,Slnd,55.08,-5.04317,0
2143,Braian Angola,4.0,ACC,57.2,6.20994,0
2144,Braian Angola-Rodas,3.0,ACC,58.38,5.0294,0
2145,Braiden Shaw,2.0,WCC,54.32,0.311111,0
2146,Brailen Neely,3.0,Horz,43.37,-3.36685,0
2147,Braiten Madrigal,1.0,Pat,50.0,-5.44072,0
2148,Brandan Kearney,4.0,Horz,52.84,-1.83119,0
2149,Brandan Smith,4.0,GWC,40.97,-8.94396,0
2150,Brandan Stith,4.0,CUSA,55.21,6.30308,0
2151,Brandan Walton,4.0,CUSA,54.56,0.739368,0
2152,Branden Aughburns,2.0,MEAC,53.4,-5.44546,0
2153,Branden Carlson,2.0,P12,58.54,4.8964,0
2154,Branden Conrad,4.0,SEC,48.05,3.57933,0
2155,Branden Dawson,4.0,B10,53.29,8.87752,1
2156,Branden Doughty,2.0,MEAC,45.23,-3.82748,0
2157,Branden Harrison,1.0,MAC,33.46,-5.74477,0
2158,Branden Jenkins,2.0,SEC,26.53,-7.26095,0
2159,Branden Johnson,4.0,BSky,47.82,-1.69778,0
2160,Branden Sheppard,1.0,CUSA,57.27,-2.61113,0
2161,Branden Stubbs,2.0,B10,70.35,0.66758,0
2162,Brandis Raley-Ross,4.0,SEC,53.5,2.40974,0
2163,Brandon Adams,4.0,MAAC,50.28,2.24404,0
2164,Brandon Allen,4.0,ACC,57.5,-1.14695,0
2165,Brandon Allums,3.0,B12,37.97,0.425307,0
2166,Brandon Alston,4.0,ACC,59.37,-2.2981,0
2167,Brandon Anderson,4.0,Ivy,49.06,-0.782833,0
2168,Brandon Angel,1.0,P12,40.9,-3.40979,0
2169,Brandon Armstrong,4.0,Sum,52.96,-4.25684,0
2170,Brandon Ashley,3.0,P12,57.45,5.51852,0
